,feature,combined_score,norm_score_c
0,race_overcome_2016,0.0,0.0
1,reverse_discrimination_2016,0.0008362247655898693,0.0004049973626589889
2,race_slave_2016,0.0022010265276963398,0.0010659932299788956
3,ideo5_2016,0.01774172658622146,0.008592609035404545
4,ft_fem,0.030321252926207815,0.01468507986482323
5,ft_blm,0.17308258007583435,0.08382673096685837
6,pp_primary16_2016,1.0613219339450826,0.5140156114327636
7,imiss_d_2016,1.0703361673018637,0.5183813524226443
8,taxdoug_2016,1.0816720414345733,0.5238715021002172
9,immi_naturalize_2016,1.0926414541190306,0.5291841684908011
10,view_transgender_2016,1.0944515005261584,0.5300608036388406
11,RIGGED_SYSTEM_4_2016,1.096720055028682,0.5311595017740508
12,gender_equality_2016,1.097038991498099,0.5313139679346871
13,RIGGED_SYSTEM_3_2016,1.1021398523793793,0.5337843984806561
14,affirmact_gen_2016,1.11870975397647,0.5418094734634652
15,immi_muslim_2016,1.1561710162482364,0.5599525769043684
16,imiss_l_2016,1.1611892871935972,0.5623830077904302
17,immi_contribution_2016,1.2100785049208302,0.5860608574030564
18,police_threat_2016,1.2439277514416012,0.6024546024020292
19,pid3_2016,1.2490090006961212,0.6049155347156542
20,gvmt_involment_2016,1.2593123711624532,0.6099056259412106
21,govt_reg_2016,1.2625737277928313,0.6114851544224817
22,envwarm_2016,1.278628781054929,0.6192608799164673
23,wealth_2016,1.2962621406525001,0.6278010050427499
24,policies_favor_2016,1.4500551748879937,0.7022854927351975
25,univhealthcov_2016,1.5841309850604057,0.7672206055788011
26,obamaapp_2016,1.7205944598935705,0.8333121035598824
27,healthreformbill_2016,2.0647659532883855,1.0
